jp,fr,source
蛮顎竜の鼻骨,Os nasal Anja.,capcom-official:mhrise-sunbreak
衛蜘蛛の黒紅糸,Fil de Pyrantula,capcom-official:mhrise-sunbreak
裂水の異国製図,Dessins déchirés,capcom-official:mhrise-sunbreak
装束チケット,Coupon tenue,capcom-official:mhrise-sunbreak
装束チケットＧ,Coupon tenue+,capcom-official:mhrise-sunbreak
覇王の証,Sceau conquérant,capcom-official:mhrise-sunbreak
角竜の堅殻,Cuirasse Diablos,capcom-official:mhrise-sunbreak
角竜の堅甲,Vertèb. Diablos+,capcom-official:mhrise-sunbreak
角竜の尾甲,Chevron Diablos,capcom-official:mhrise-sunbreak
角竜の延髄,Medulla Diablos,capcom-official:mhrise-sunbreak
角竜の牙,Croc Diablos,capcom-official:mhrise-sunbreak
角竜の甲殻,Carapace Diablos,capcom-official:mhrise-sunbreak
角竜の背甲,Vertèbre Diablos,capcom-official:mhrise-sunbreak
角竜の重尾甲,Chevron Diablos+,capcom-official:mhrise-sunbreak
角竜の重殻,Cortex Diablos,capcom-official:mhrise-sunbreak
角竜の重甲,Échine Diablos,capcom-official:mhrise-sunbreak
角竜の骨髄,Moelle Diablos,capcom-official:mhrise-sunbreak
解毒薬,Antidote,capcom-official:mhrise-sunbreak
討究コイン,Pièce d'Investigation,capcom-official:mhrise-sunbreak
謹製おだんご券,Ticket dango,capcom-official:mhrise-sunbreak
豊沃なドロ,Boue nutritive,capcom-official:mhrise-sunbreak
貫通水冷弾,Aquatique Perf.,capcom-official:mhrise-sunbreak
貫通氷結弾,Glace Perf.,capcom-official:mhrise-sunbreak
貫通滅龍弾,Dragon Perf.,capcom-official:mhrise-sunbreak
貫通火炎弾,Feu Perf.,capcom-official:mhrise-sunbreak
貫通電撃弾,Foudre Perf.,capcom-official:mhrise-sunbreak
赤甲獣の剛爪,Serre Volvidon,capcom-official:mhrise-sunbreak
赤甲獣の堅殻,Cuirasse Volvi.,capcom-official:mhrise-sunbreak
赤甲獣の大蛇腹甲,Gd feston Volvidon,capcom-official:mhrise-sunbreak
赤甲獣の尖爪,Griffe Volvidon+,capcom-official:mhrise-sunbreak
赤甲獣の爪,Griffe Volvidon,capcom-official:mhrise-sunbreak
赤甲獣の甲殻,Carapace Volvi.,capcom-official:mhrise-sunbreak
赤甲獣の蛇腹甲,Feston Volvidon,capcom-official:mhrise-sunbreak
赤甲獣の重殻,Cortex Volvidon,capcom-official:mhrise-sunbreak
赤金魚,Pourpraie,capcom-official:mhrise-sunbreak
赫揺れる厚龍鱗,Éclat scintillant,capcom-official:mhrise-sunbreak
赫揺れる龍鱗,Écaille scint.,capcom-official:mhrise-sunbreak
赫星招く龍氣玉,Orbe drag. rouge,capcom-official:mhrise-sunbreak
赫星招く龍神玉,Lancedragon rouge,capcom-official:mhrise-sunbreak
赫赫の撃槍翼,Aile-lance rouge+,capcom-official:mhrise-sunbreak
赫赫の槍翼,Aile pointe r.,capcom-official:mhrise-sunbreak
超電雷光虫,Fulgurinsecte,capcom-official:mhrise-sunbreak
超高圧電甲,Volt-écaille,capcom-official:mhrise-sunbreak
軽装の異国製図,Dessins légers,capcom-official:mhrise-sunbreak
輝く尻子玉,Nacre brillante,capcom-official:mhrise-sunbreak
轟竜のアギト,Mâchoire Tigrex,capcom-official:mhrise-sunbreak
轟竜の上鱗,Écaille Tigrex+,capcom-official:mhrise-sunbreak
轟竜の剛爪,Serre Tigrex,capcom-official:mhrise-sunbreak
轟竜の厚鱗,Éclat Tigrex,capcom-official:mhrise-sunbreak
轟竜の堅殻,Cuirasse Tigrex,capcom-official:mhrise-sunbreak
轟竜の天鱗,Mante Tigrex,capcom-official:mhrise-sunbreak
轟竜の尖爪,Griffe Tigrex+,capcom-official:mhrise-sunbreak
轟竜の尻尾,Queue Tigrex,capcom-official:mhrise-sunbreak
轟竜の爪,Griffe Tigrex,capcom-official:mhrise-sunbreak
轟竜の牙,Croc Tigrex,capcom-official:mhrise-sunbreak
轟竜の甲殻,Carapace Tigrex,capcom-official:mhrise-sunbreak
轟竜の重殻,Cortex Tigrex,capcom-official:mhrise-sunbreak
轟竜の重牙,Croc lourd Tigrex,capcom-official:mhrise-sunbreak
轟竜の鋭牙,Croc Tigrex+,capcom-official:mhrise-sunbreak
轟竜の靭尾,Fouet Tigrex,capcom-official:mhrise-sunbreak
轟竜の頭殻,Crâne Tigrex,capcom-official:mhrise-sunbreak
轟竜の鱗,Écaille Tigrex,capcom-official:mhrise-sunbreak
迅竜の上鱗,Écaille Narga.+,capcom-official:mhrise-sunbreak
迅竜の上黒毛,Peau Nargacuga+,capcom-official:mhrise-sunbreak
迅竜の刃翼,Rasoir Nargacuga,capcom-official:mhrise-sunbreak
迅竜の剛刃翼,Alfange Nargacuga,capcom-official:mhrise-sunbreak
迅竜の厚鱗,Éclat Nargacuga,capcom-official:mhrise-sunbreak
迅竜の天鱗,Mante Nargacuga,capcom-official:mhrise-sunbreak
迅竜の尻尾,Queue Nargacuga,capcom-official:mhrise-sunbreak
迅竜の尾棘,Piqueue Narga.,capcom-official:mhrise-sunbreak
迅竜の延髄,Medulla Narga.,capcom-official:mhrise-sunbreak
迅竜の牙,Croc Nargacuga,capcom-official:mhrise-sunbreak
迅竜の豪黒毛,Fourrure Nargacuga,capcom-official:mhrise-sunbreak
迅竜の重尾棘,Poinqueue Nargacuga,capcom-official:mhrise-sunbreak
迅竜の重牙,Croc lourd Nargacuga,capcom-official:mhrise-sunbreak
迅竜の鋭刃翼,Rasoir Narga.,capcom-official:mhrise-sunbreak
迅竜の鋭牙,Croc Nargacuga+,capcom-official:mhrise-sunbreak
迅竜の靭尾,Fouet Nargacuga,capcom-official:mhrise-sunbreak
迅竜の骨髄,Moelle Nargacuga,capcom-official:mhrise-sunbreak
迅竜の鱗,Écaille Narga.,capcom-official:mhrise-sunbreak
迅竜の黒毛,Peau Nargacuga,capcom-official:mhrise-sunbreak
迅錬丹,Accélérateur CF,capcom-official:mhrise-sunbreak
逸品キノコ,Champi précieux,capcom-official:mhrise-sunbreak
逸品タケノコ,Bambou précieux,capcom-official:mhrise-sunbreak
重厚な牙,Croc massif,capcom-official:mhrise-sunbreak
重厚な竜骨,Os énorme de monstre,capcom-official:mhrise-sunbreak
重厚な骨,Os énorme,capcom-official:mhrise-sunbreak
重竜頭殻,Scalp wyverne lourd,capcom-official:mhrise-sunbreak
重竜骨,Os robustos,capcom-official:mhrise-sunbreak
重鎧玉,Sph. arm. lourde,capcom-official:mhrise-sunbreak
金のたまご,Œuf d'or,capcom-official:mhrise-sunbreak
金剛原珠,Joyau Adamante,capcom-official:mhrise-sunbreak
金火竜の厚翼膜,Toile Rathian d'or,capcom-official:mhrise-sunbreak
金火竜の厚鱗,Éclat Rathian d'or,capcom-official:mhrise-sunbreak
金火竜の秘棘,Aiguille Rathian d'or,capcom-official:mhrise-sunbreak
金火竜の重殻,Cortex Rathian d'or,capcom-official:mhrise-sunbreak
金獅子の剛爪,Serre Rajang,capcom-official:mhrise-sunbreak
金獅子の剛角,Vouge Rajang,capcom-official:mhrise-sunbreak
金獅子の尖爪,Griffe Rajang+,capcom-official:mhrise-sunbreak
金獅子の尖角,Corne Rajang+,capcom-official:mhrise-sunbreak
金獅子の尻尾,Queue Rajang,capcom-official:mhrise-sunbreak
金獅子の怒髪天,Apoplexie Rajang,capcom-official:mhrise-sunbreak
金獅子の重牙,Croc lourd Rajang,capcom-official:mhrise-sunbreak
金獅子の鋭牙,Croc Rajang+,capcom-official:mhrise-sunbreak
金獅子の黒毛,Four. noire Raj.,capcom-official:mhrise-sunbreak
金獅子の黒荒毛,Pelage sauv. Rajang,capcom-official:mhrise-sunbreak
金色の種,Graine dorée,capcom-official:mhrise-sunbreak
鉄蟲糸弾,Tir Lien de soie,capcom-official:mhrise-sunbreak
鉄蟲糸拘束弾,Tir Lien de soie,capcom-official:mhrise-sunbreak
鉄鉱石,Minerai de fer,capcom-official:mhrise-sunbreak
銀のたまご,Œuf d'argent,capcom-official:mhrise-sunbreak
銀光の盾翼,Bouclier brillant,capcom-official:mhrise-sunbreak
銀火竜の剛翼,Égide Rathalos d'argent,capcom-official:mhrise-sunbreak
銀火竜の厚鱗,Éclat Rathalos argent,capcom-official:mhrise-sunbreak
銀火竜の重殻,Cortex Rathalos argent,capcom-official:mhrise-sunbreak
銀火竜の靭尾,Fouet Rathalos d'argent,capcom-official:mhrise-sunbreak
銀色の種,Graine argent,capcom-official:mhrise-sunbreak
鋭利な爪,Griffe perf.,capcom-official:mhrise-sunbreak
鋭利な牙,Croc aigu,capcom-official:mhrise-sunbreak
鋼のたまご,Œuf d'acier,capcom-official:mhrise-sunbreak
鋼の上龍鱗,Écaille Daora+,capcom-official:mhrise-sunbreak
鋼の厚龍鱗,Éclat Daora,capcom-official:mhrise-sunbreak
鋼龍の剛爪,Serre Daora,capcom-official:mhrise-sunbreak
鋼龍の剛翼,Égide Daora,capcom-official:mhrise-sunbreak
鋼龍の剛角,Vouge Daora,capcom-official:mhrise-sunbreak
鋼龍の堅殻,Cuirasse Daora,capcom-official:mhrise-sunbreak
鋼龍の宝玉,Joyau Daora,capcom-official:mhrise-sunbreak
鋼龍の尖爪,Griffe Daora+,capcom-official:mhrise-sunbreak
鋼龍の尖角,Corne Daora+,capcom-official:mhrise-sunbreak
鋼龍の尻尾,Queue Daora,capcom-official:mhrise-sunbreak
鋼龍の破傀玉,Gemme Daora rév,capcom-official:mhrise-sunbreak
鋼龍の翼,Palmure Daora,capcom-official:mhrise-sunbreak
鋼龍の重殻,Cortex Daora,capcom-official:mhrise-sunbreak
鋼龍の靭尾,Fouet Daora,capcom-official:mhrise-sunbreak
錠の掛かった宝箱,Coffre verrouillé,capcom-official:mhrise-sunbreak
錦魚,Koï,capcom-official:mhrise-sunbreak
鎌蟹の剛爪,Serre Ceanataur,capcom-official:mhrise-sunbreak
鎌蟹の極小殻,Carapace Ceanataur,capcom-official:mhrise-sunbreak
鎌蟹の重殻,Cortex Ceanataur,capcom-official:mhrise-sunbreak
鎌蟹の重脚,Jambe Ceanataur lourde,capcom-official:mhrise-sunbreak
鎌鼬竜の上刃尾,Queue G. Izuchi+,capcom-official:mhrise-sunbreak
鎌鼬竜の上毛,Peau G. Izuchi+,capcom-official:mhrise-sunbreak
鎌鼬竜の上皮,Cuir G. Izuchi+,capcom-official:mhrise-sunbreak
鎌鼬竜の刃尾,Queue G. Izuchi,capcom-official:mhrise-sunbreak
鎌鼬竜の厚毛,Fourrure G. Izuchi,capcom-official:mhrise-sunbreak
鎌鼬竜の厚皮,Peau ép. G. Izuchi,capcom-official:mhrise-sunbreak
鎌鼬竜の毛,Peau G. Izuchi,capcom-official:mhrise-sunbreak
鎌鼬竜の皮,Cuir G. Izuchi,capcom-official:mhrise-sunbreak
鎌鼬竜の砥刃尾,Queue aig. G. Izuchi,capcom-official:mhrise-sunbreak
鎧玉,Sphère d'armure,capcom-official:mhrise-sunbreak
閃光玉,Bombe flash,capcom-official:mhrise-sunbreak
開花チケット,Ticket Printemps,capcom-official:mhrise-sunbreak
闇盛り茸,Champignombres,capcom-official:mhrise-sunbreak
闇転の黒布,Bure,capcom-official:mhrise-sunbreak
闘技王のコイン,Pièce Apogée,capcom-official:mhrise-sunbreak
陽春夜鯉,Carpe print. solaire,capcom-official:mhrise-sunbreak
隠されし金貨,Pièce mystér.,capcom-official:mhrise-sunbreak
雌火竜の上棘,Pointe Rathian+,capcom-official:mhrise-sunbreak
雌火竜の上鱗,Écaille Rathian+,capcom-official:mhrise-sunbreak
雌火竜の厚翼膜,Toile Rathian,capcom-official:mhrise-sunbreak
雌火竜の厚鱗,Éclat Rathian,capcom-official:mhrise-sunbreak
雌火竜の堅殻,Cuirasse Rathian,capcom-official:mhrise-sunbreak
雌火竜の天鱗,Mante Rathian,capcom-official:mhrise-sunbreak
雌火竜の棘,Pointe Rathian,capcom-official:mhrise-sunbreak
雌火竜の甲殻,Carapace Rathian,capcom-official:mhrise-sunbreak
雌火竜の秘棘,Aiguille Rathian,capcom-official:mhrise-sunbreak
雌火竜の紅玉,Rubis Rathian,capcom-official:mhrise-sunbreak
雌火竜の翼膜,Palmure Rathian,capcom-official:mhrise-sunbreak
雌火竜の逆鱗,Plaque Rathian,capcom-official:mhrise-sunbreak
雌火竜の重殻,Cortex Rathian,capcom-official:mhrise-sunbreak
雌火竜の鱗,Écaille Rathian,capcom-official:mhrise-sunbreak
雪鬼獣の上皮,Peau Goss Harag+,capcom-official:mhrise-sunbreak
雪鬼獣の凍剛毛,Four. gelée G. Harag,capcom-official:mhrise-sunbreak
雪鬼獣の剛拳爪,Serre Goss Harag,capcom-official:mhrise-sunbreak
雪鬼獣の剛毛,Four. G. Harag+,capcom-official:mhrise-sunbreak
雪鬼獣の剛角,Vouge Goss Harag,capcom-official:mhrise-sunbreak
雪鬼獣の堅腕甲,Avt-br G. Harag+,capcom-official:mhrise-sunbreak
雪鬼獣の尖拳爪,Griffe G. Harag+,capcom-official:mhrise-sunbreak
雪鬼獣の尖角,Corne G. Harag+,capcom-official:mhrise-sunbreak
雪鬼獣の拳爪,Griffe G. Harag,capcom-official:mhrise-sunbreak
雪鬼獣の毛,Four. Goss Harag,capcom-official:mhrise-sunbreak
雪鬼獣の特上皮,Peau fine Goss,capcom-official:mhrise-sunbreak
雪鬼獣の皮,Peau Goss Harag,capcom-official:mhrise-sunbreak
雪鬼獣の腕甲,Avt-br G. Harag,capcom-official:mhrise-sunbreak
雪鬼獣の角,Corne Goss Harag,capcom-official:mhrise-sunbreak
雪鬼獣の重腕甲,Procoxa Goss Harag,capcom-official:mhrise-sunbreak
雪鬼胆,Bile Goss Harag,capcom-official:mhrise-sunbreak
雷光虫,Foudrinsecte,capcom-official:mhrise-sunbreak
雷狼竜の剛爪,Serre Zinogre,capcom-official:mhrise-sunbreak
雷狼竜の剛角,Vouge Zinogre,capcom-official:mhrise-sunbreak
雷狼竜の堅殻,Cuirasse Zinogre,capcom-official:mhrise-sunbreak
雷狼竜の天玉,Célémeraude Zinogre,capcom-official:mhrise-sunbreak
雷狼竜の尖爪,Griffe Zinogre+,capcom-official:mhrise-sunbreak
雷狼竜の尖角,Corne Zinogre+,capcom-official:mhrise-sunbreak
雷狼竜の尻尾,Queue Zinogre,capcom-official:mhrise-sunbreak
雷狼竜の帯電毛,Peau él. Zinogre,capcom-official:mhrise-sunbreak
雷狼竜の爪,Griffe Zinogre,capcom-official:mhrise-sunbreak
雷狼竜の甲殻,Carapace Zinogre,capcom-official:mhrise-sunbreak
雷狼竜の碧玉,Jaspe Zinogre,capcom-official:mhrise-sunbreak
雷狼竜の蓄電殻,Carap. él. Zin.,capcom-official:mhrise-sunbreak
雷狼竜の角,Corne Zinogre,capcom-official:mhrise-sunbreak
雷狼竜の逆鱗,Plaque Zinogre,capcom-official:mhrise-sunbreak
雷狼竜の重殻,Cortex Zinogre,capcom-official:mhrise-sunbreak
雷狼竜の雷電殻,Électrichoc Zinogre,capcom-official:mhrise-sunbreak
雷狼竜の雷電毛,Four. élec. Zin.+,capcom-official:mhrise-sunbreak
雷狼竜の靭尾,Fouet Zinogre,capcom-official:mhrise-sunbreak
雷狼竜の高電殻,Carap. él. Zin.+,capcom-official:mhrise-sunbreak
雷狼竜の高電毛,Fourr. élec. Zin.,capcom-official:mhrise-sunbreak
雷神の龍玉,Orbe Narwa,capcom-official:mhrise-sunbreak
雷神龍の上皮,Peau Narwa+,capcom-official:mhrise-sunbreak
雷神龍の剛爪,Serre Narwa,capcom-official:mhrise-sunbreak
雷神龍の厚皮,Peau épaisse Narwa,capcom-official:mhrise-sunbreak
雷神龍の堅殻,Cuirasse Narwa,capcom-official:mhrise-sunbreak
雷神龍の尖爪,Griffe Narwa+,capcom-official:mhrise-sunbreak
雷神龍の尖角,Corne Narwa+,capcom-official:mhrise-sunbreak
雷神龍の猛触手,Tentacule Narwa+,capcom-official:mhrise-sunbreak
雷神龍の触手,Tentacule Narwa,capcom-official:mhrise-sunbreak
雷神龍の雷袋,Sac Narwa,capcom-official:mhrise-sunbreak
雷神龍の雷電袋,Poche d'orage Narwa,capcom-official:mhrise-sunbreak
雷電袋,Poche d'orage,capcom-official:mhrise-sunbreak
電撃タル爆弾,Bombe baril Foudre,capcom-official:mhrise-sunbreak
電撃弾,Foudre,capcom-official:mhrise-sunbreak
電撃袋,Poche de foudre,capcom-official:mhrise-sunbreak
電気袋,Poche électrique,capcom-official:mhrise-sunbreak
電竜の剛翼爪,Serre acér. Astalos,capcom-official:mhrise-sunbreak
電竜の厚鱗,Éclat Astalos,capcom-official:mhrise-sunbreak
電竜の天鱗,Mante Astalos,capcom-official:mhrise-sunbreak
電竜の超電膜,Membrane Astalos,capcom-official:mhrise-sunbreak
電竜の重冠甲,Lrde crête Astalos+,capcom-official:mhrise-sunbreak
電竜の重棘殻,Carap. lrde Astalos,capcom-official:mhrise-sunbreak
電竜の鋏刃尾,Lame-ciseau Astalos,capcom-official:mhrise-sunbreak
霜ふり草,Herbe des neiges,capcom-official:mhrise-sunbreak
霞龍の上皮,Peau Chameleos+,capcom-official:mhrise-sunbreak
霞龍の剛爪,Serre Chameleos,capcom-official:mhrise-sunbreak
霞龍の剛翼,Égide Chameleos,capcom-official:mhrise-sunbreak
霞龍の剛角,Vouge Chameleos,capcom-official:mhrise-sunbreak
霞龍の宝玉,Joyau Chameleos,capcom-official:mhrise-sunbreak
霞龍の尖爪,Griffe Cham.+,capcom-official:mhrise-sunbreak
霞龍の尖角,Pointe Chameleos,capcom-official:mhrise-sunbreak
霞龍の尻尾,Queue Chameleos,capcom-official:mhrise-sunbreak
霞龍の特上皮,Cuir fin Chameleos,capcom-official:mhrise-sunbreak
霞龍の破傀玉,Gemme Chameleos év.,capcom-official:mhrise-sunbreak
霞龍の翼,Aile Chameleos,capcom-official:mhrise-sunbreak
霞龍の靭尾,Fouet Chameleos,capcom-official:mhrise-sunbreak
青熊獣の剛毛,Peau Arzuros+,capcom-official:mhrise-sunbreak
青熊獣の堅殻,Cuirasse Arzuros,capcom-official:mhrise-sunbreak
青熊獣の堅腕甲,Coxa Arzuros+,capcom-official:mhrise-sunbreak
青熊獣の毛,Peau Arzuros,capcom-official:mhrise-sunbreak
青熊獣の甲殻,Carapace Arzuros,capcom-official:mhrise-sunbreak
青熊獣の腕甲,Coxa Arzuros,capcom-official:mhrise-sunbreak
青熊獣の豪剛毛,Fourrure Arzuros,capcom-official:mhrise-sunbreak
青熊獣の重殻,Cortex Arzuros,capcom-official:mhrise-sunbreak
青熊獣の重腕甲,Procoxa Arzuros,capcom-official:mhrise-sunbreak
音爆弾,Bombe sonique,capcom-official:mhrise-sunbreak
頑丈な骨,Os solide,capcom-official:mhrise-sunbreak
風神の龍玉,Orbe Serp. vent,capcom-official:mhrise-sunbreak
風神の龍神玉,Lancedragon Vent,capcom-official:mhrise-sunbreak
風神龍の上皮,Peau Ibushi+,capcom-official:mhrise-sunbreak
風神龍の剛爪,Serre Ibushi,capcom-official:mhrise-sunbreak
風神龍の剛角,Vouge Ibushi,capcom-official:mhrise-sunbreak
風神龍の堅殻,Cuirasse Ibushi,capcom-official:mhrise-sunbreak
風神龍の尖爪,Griffe Ibushi+,capcom-official:mhrise-sunbreak
風神龍の尖角,Corne Ibushi+,capcom-official:mhrise-sunbreak
風神龍の暴風袋,Trachée Ibushi+,capcom-official:mhrise-sunbreak
風神龍の特上皮,Peau fine Ibushi,capcom-official:mhrise-sunbreak
風神龍の碧棘,Pointe bleue Ib.,capcom-official:mhrise-sunbreak
風神龍の碧重棘,Pointe bleue Ib.+,capcom-official:mhrise-sunbreak
風神龍の重殻,Cortex Ibushi,capcom-official:mhrise-sunbreak
風神龍の風袋,Trachée Ibushi,capcom-official:mhrise-sunbreak
飛甲虫の堅殻,Cuirasse Bnaha.,capcom-official:mhrise-sunbreak
飛甲虫の斬羽,Élytre Bnahabra,capcom-official:mhrise-sunbreak
飛甲虫の甲殻,Carapace Bnaha.,capcom-official:mhrise-sunbreak
飛甲虫の羽,Aile Bnahabra,capcom-official:mhrise-sunbreak
飛甲虫の麻痺針,Dard Bnahabra,capcom-official:mhrise-sunbreak
飛雷竜の上毛皮,Pelage Kadachi+,capcom-official:mhrise-sunbreak
飛雷竜の上鱗,Écaille Kadachi+,capcom-official:mhrise-sunbreak
飛雷竜の剛爪,Serre Tobi-Kadachi,capcom-official:mhrise-sunbreak
飛雷竜の厚毛皮,Fourrure Tobi-Kadachi,capcom-official:mhrise-sunbreak
飛雷竜の厚皮膜,Membrane Tobi-Kadachi+,capcom-official:mhrise-sunbreak
飛雷竜の厚鱗,Éclat Tobi-Kadachi,capcom-official:mhrise-sunbreak
飛雷竜の尖爪,Griffe Kadachi+,capcom-official:mhrise-sunbreak
飛雷竜の毛皮,Pelage Kadachi,capcom-official:mhrise-sunbreak
飛雷竜の爪,Griffe Kadachi,capcom-official:mhrise-sunbreak
飛雷竜の皮膜,Membrane Kadachi,capcom-official:mhrise-sunbreak
飛雷竜の雷光針,Cathode Tobi-Kadachi,capcom-official:mhrise-sunbreak
飛雷竜の雷極針,Électr. Kadachi+,capcom-official:mhrise-sunbreak
飛雷竜の電極針,Électrode Kadachi,capcom-official:mhrise-sunbreak
飛雷竜の鱗,Écaille Kadachi,capcom-official:mhrise-sunbreak
飴色のコーパル,Copale d'ambre,capcom-official:mhrise-sunbreak
高級なトサカ,Crête Ludr. r.+,capcom-official:mhrise-sunbreak
鬼人の粉塵,Poudre du démon,capcom-official:mhrise-sunbreak
鬼人弾,Démon,capcom-official:mhrise-sunbreak
鬼人薬,Potion du démon,capcom-official:mhrise-sunbreak
鬼人薬グレート,Potion du démon+,capcom-official:mhrise-sunbreak
魂揺らめく尻子玉,Nacre scintillante,capcom-official:mhrise-sunbreak
魅惑の異国製図,Dessins enchanteurs,capcom-official:mhrise-sunbreak
鮫肌の鱗,Écaille requin,capcom-official:mhrise-sunbreak
鳥竜玉,Gemme w. rapace,capcom-official:mhrise-sunbreak
鳴き袋,Poche hurlante,capcom-official:mhrise-sunbreak
麗羊獣の厚毛皮,Fourrure chèvrecape,capcom-official:mhrise-sunbreak
麗羊獣の毛玉,Boule de laine chèvrecape,capcom-official:mhrise-sunbreak
麻痺ビン,F. de paralysie,capcom-official:mhrise-sunbreak
麻痺投げクナイ,Kunai paralysie,capcom-official:mhrise-sunbreak
麻痺袋,Poche paralysie,capcom-official:mhrise-sunbreak
黄金の毛,Peau d'or Rajang,capcom-official:mhrise-sunbreak
黄金の煌毛,Peau d'or Rajang+,capcom-official:mhrise-sunbreak
黄金色の泥土,Boue dorée,capcom-official:mhrise-sunbreak
黄金色の粘泥土,Vase dorée,capcom-official:mhrise-sunbreak
黄金色の純粘泥土,Vase dorée pure,capcom-official:mhrise-sunbreak
黄金魚,Poisson d'or,capcom-official:mhrise-sunbreak
黒ずんだ重焼骨,Os dur noirci,capcom-official:mhrise-sunbreak
黒翼耳チケット,Ti. ailes noires,capcom-official:mhrise-sunbreak
黒蝕竜の剛惨爪,Broyeur G. Magala,capcom-official:mhrise-sunbreak
黒蝕竜の剛触角,Capteur G. Magala,capcom-official:mhrise-sunbreak
黒蝕竜の厚鱗,Éclat G. Magala,capcom-official:mhrise-sunbreak
黒蝕竜の天鱗,Mante G. Magala,capcom-official:mhrise-sunbreak
黒蝕竜の暗黒翼,Éclipse G. Magala,capcom-official:mhrise-sunbreak
黒蝕竜の重殻,Cortex G. Magala,capcom-official:mhrise-sunbreak
黒蝕竜の靭尾,Queue Gore Magala,capcom-official:mhrise-sunbreak
龍殺しの実,Baie-dragon,capcom-official:mhrise-sunbreak
龍秘宝,Trésor de dragon,capcom-official:mhrise-sunbreak
４品詰めの土産品,Ensemble souvenir,capcom-official:mhrise-sunbreak
