jp,fr,occurrences,origin,example
メラース,Melas,4,en-patch,メラースＤスーツ / メラースＤガード
正拳,,4,unresolved,正拳篭手 / 正拳Ｆ篭手
灼熱,,4,unresolved,灼熱篭手 / 灼熱Ｆ篭手
飛天ノ,,4,unresolved,飛天ノ篭手・白 / 飛天ノ篭手・赤
天日ノ,,4,unresolved,天日ノ篭手・赤 / 天日ノ篭手・青
キングロブスタ,,3,unresolved,キングロブスタヘルム / キングロブスタアーム
ルチャル,Luchar,3,en-patch,ルチャルＧピアス / ルチャルGFピアス
ヘルト,Heruto,3,en-patch,ヘルトＧピアス / ヘルトGFピアス
イロアス,Iroasu,3,en-patch,イロアスＧピアス / イロアスGFピアス
ヘルパー,Assistant,3,francised,ヘルパーベスト / ヘルパーＵベスト
マカルパ,Makluva,3,en-patch,マカルパコイル / マカルパＵコイル
ミラバルカン,Fatalis,2,en-patch,ミラバルカンヘッド / ミラバルカンフット
ストレングス,Force,2,francised,ストレングスヘッド / ストレングスＤヘッド
狩人の,,2,unresolved,狩人のピアス【運搬】 / 狩人のピアス【釣師】
ラヴァーズ,Lovers,2,en-patch,ラヴァーズピアス / ラヴァーズＦピアス
ソウイル,Sowilo,2,en-patch,ソウイルピアス / ソウイルＦピアス
アンサズ,Ansuz,2,en-patch,アンサズピアス / アンサズＦピアス
エオロー,Eolh,2,en-patch,エオローピアス / エオローＦピアス
ラグズ,Laguz,2,en-patch,ラグズピアス / ラグズＦピアス
ゲーボ,Gebo,2,en-patch,ゲーボピアス / ゲーボＦピアス
テイワズ,Teiwaz,2,en-patch,テイワズピアス / テイワズＦピアス
ウルズ,Uruz,2,en-patch,ウルズピアス / ウルズＦピアス
エイワズ,Eihwaz,2,en-patch,エイワズピアス / エイワズＦピアス
ドラゴンSC,,2,unresolved,ドラゴンSCヘッド / ドラゴンSCフット
ドラゴンGD,,2,unresolved,ドラゴンGDヘッド / ドラゴンGDフット
バルカンGD,Vulcan,2,en-patch,バルカンGDヘッド / バルカンGDフット
旋風,,2,unresolved,旋風篭手 / 旋風Ｆ篭手
巴,,2,unresolved,巴篭手 / 巴Ｆ篭手
クロムメタル,,2,unresolved,クロムメタルコイル / クロムメタルブーツ
ガブラスーツ,Gablasts,2,romaji,ガブラスーツベルト / ガブラスーツフット
レッド,Redd,1,romaji,レッドピアス
ブルー,Bl,1,romaji,ブルーピアス
イエロー,Iero,1,romaji,イエローピアス
ブラック,Blakk,1,romaji,ブラックピアス
ホワイト,Howait,1,romaji,ホワイトピアス
技の,,1,unresolved,技のピアス
力の,,1,unresolved,力のピアス
命の,,1,unresolved,命のピアス
名人の,Expert's,1,en-patch,名人のピアス
職人の,Craftsman's,1,en-patch,職人のピアス
凄腕の,Master's,1,en-patch,凄腕のピアス
強運の,,1,unresolved,強運のピアス
悪運の,,1,unresolved,悪運のピアス
護人の,Protector's,1,en-patch,護人のピアス
勇者の,Hero's,1,en-patch,勇者のピアス
フレアー,Freya,1,en-patch,フレアーピアス
ラフねこ服,,1,unresolved,ラフねこ服マスク
常連の,Regular's,1,en-patch,常連のピアス
トリビュート,Tribut,1,francised,トリビュートピアス
衝撃の,,1,unresolved,衝撃のピアス
射手の,Marksman's,1,en-patch,射手のピアス
先見の,,1,unresolved,先見のピアス
捨身の,,1,unresolved,捨身のピアス
慈愛の,,1,unresolved,慈愛のピアス
マーレ,Mare,1,romaji,マーレピアス
スカイ,Ciel,1,francised,スカイピアス
ランド,,1,unresolved,ランドピアス
ディアリー,Dearly,1,en-patch,ディアリーピアス
バディー,,1,unresolved,バディーピアス
ムース,,1,unresolved,ムースヘッド
ルーフス,Rufus,1,en-patch,ルーフスピアス
シーニー,Shini,1,romaji,シーニーピアス
ジョーヌ,Jaune,1,en-patch,ジョーヌピアス
アルブス,Arbs,1,romaji,アルブスピアス
プレート,Plaque,1,francised,プレートピアス
ダンシン,Danshin,1,romaji,ダンシンピアス
アメニケ,Amenike,1,romaji,アメニケピアス
海洋の,,1,unresolved,海洋のピアス
天空の,,1,unresolved,天空のピアス
大地の,,1,unresolved,大地のピアス
歌姫ＤＩＶＡ,Utahime,1,en-patch,歌姫ＤＩＶＡピアス
メイド,Soubrette,1,francised,メイドベスト
プライベート,,1,unresolved,プライベートベスト
ギルドヒーロー,Girdhiro,1,romaji,ギルドヒーローメイル
金色ノ,,1,unresolved,金色ノ篭手
黒子ノ,,1,unresolved,黒子ノ篭手
破龍の,,1,unresolved,破龍の篭手
シカリの,Shikari,1,en-patch,シカリの篭手
鬼神ノ,,1,unresolved,鬼神ノ篭手
童子ノ,,1,unresolved,童子ノ篭手
刹帝利ノ,,1,unresolved,刹帝利ノ篭手
婆羅門ノ,,1,unresolved,婆羅門ノ篭手
流転の,,1,unresolved,流転の篭手
旋転の,,1,unresolved,旋転の篭手
嵐転の,Rolling,1,en-patch,嵐転の篭手
地転の,Rolling,1,en-patch,地転の篭手
月陽ノ,,1,unresolved,月陽ノ篭手
曙光ノ,Dawnbreak,1,en-patch,曙光ノ篭手
和花ノ,Waka,1,en-patch,和花ノ篭手
和奏ノ,Wasou,1,en-patch,和奏ノ篭手
白銀の甲冑,,1,unresolved,白銀の甲冑・篭手
白銀の甲冑Ｆ,,1,unresolved,白銀の甲冑Ｆ・篭手
白銀の甲冑FZ,,1,unresolved,白銀の甲冑FZ・篭手
白銀の甲冑HS,,1,unresolved,白銀の甲冑HS・篭手
白銀の甲冑GS,,1,unresolved,白銀の甲冑GS・篭手
白銀の甲冑GP,,1,unresolved,白銀の甲冑GP・篭手
白銀の甲冑ZP,,1,unresolved,白銀の甲冑ZP・篭手
白銀の甲冑Ｄ,,1,unresolved,白銀の甲冑Ｄ・篭手
十二勇士甲冑,,1,unresolved,十二勇士甲冑・篭手
十二勇士甲冑Ｆ,,1,unresolved,十二勇士甲冑Ｆ・篭手
十二勇士甲冑FZ,,1,unresolved,十二勇士甲冑FZ・篭手
十二勇士甲冑HS,,1,unresolved,十二勇士甲冑HS・篭手
十二勇士甲冑GS,,1,unresolved,十二勇士甲冑GS・篭手
十二勇士甲冑GP,,1,unresolved,十二勇士甲冑GP・篭手
十二勇士甲冑ZP,,1,unresolved,十二勇士甲冑ZP・篭手
竜殺しの甲冑,,1,unresolved,竜殺しの甲冑・篭手
竜殺しの甲冑Ｆ,,1,unresolved,竜殺しの甲冑Ｆ・篭手
竜殺しの甲冑FZ,,1,unresolved,竜殺しの甲冑FZ・篭手
竜殺しの甲冑HS,,1,unresolved,竜殺しの甲冑HS・篭手
竜殺しの甲冑GS,,1,unresolved,竜殺しの甲冑GS・篭手
竜殺しの甲冑GP,,1,unresolved,竜殺しの甲冑GP・篭手
竜殺しの甲冑ZP,,1,unresolved,竜殺しの甲冑ZP・篭手
叛逆の甲冑,,1,unresolved,叛逆の甲冑・篭手
叛逆の甲冑Ｆ,,1,unresolved,叛逆の甲冑Ｆ・篭手
叛逆の甲冑FZ,,1,unresolved,叛逆の甲冑FZ・篭手
叛逆の甲冑HS,,1,unresolved,叛逆の甲冑HS・篭手
叛逆の甲冑GS,,1,unresolved,叛逆の甲冑GS・篭手
叛逆の甲冑GP,,1,unresolved,叛逆の甲冑GP・篭手
叛逆の甲冑ZP,,1,unresolved,叛逆の甲冑ZP・篭手
十二勇士甲冑Ｄ,,1,unresolved,十二勇士甲冑Ｄ・篭手
竜殺しの甲冑Ｄ,,1,unresolved,竜殺しの甲冑Ｄ・篭手
叛逆の甲冑Ｄ,,1,unresolved,叛逆の甲冑Ｄ・篭手
了奏ノ,Ryoso,1,en-patch,了奏ノ篭手
スキンライト,,1,unresolved,スキンライトベルト
チェーンライト,Chainmail,1,en-patch,チェーンライトベルト
アイアン,Fer,1,francised,アイアンベルト
ハイド,Peau,1,francised,ハイドベルト
Ｃ・ライトＳ,,1,unresolved,Ｃ・ライトＳベルト
マスター,Masta,1,romaji,マスターベルト
Ｃ・ライトＬ,,1,unresolved,Ｃ・ライトＬベルト
シルバーメタル,Métal argenté,1,francised,シルバーメタルブーツ
ダークメタル,,1,unresolved,ダークメタルブーツ
ピンクメタル,Métal rose,1,francised,ピンクメタルブーツ
モス,Mosswine,1,monster,モスフット
ランポスーツ,Ranposts,1,romaji,ランポスーツフット
ゲネポスーツ,Geneposts,1,romaji,ゲネポスーツフット
イーオスーツ,Iosts,1,romaji,イーオスーツフット
ギアノスーツ,Gianosts,1,romaji,ギアノスーツフット
ブレイドメタル,Bleidmetal,1,romaji,ブレイドメタルブーツ
ハセルヴォル,Haservol,1,romaji,ハセルヴォルフット
